algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
GRaSP,0.0,50000,1019,0,13,,0.014
ICA-LiNGAM,0.0,50000,1019,0,0,0.0,0.165
DirectLiNGAM,0.0,50000,1019,0,0,0.0,0.732
PC,0.05,1000,1000,0,11,,0.02
FCI,0.05,1000,1000,0,9,,0.028
GES,0.05,1000,1000,0,9,,0.037
GRaSP,0.05,1000,1000,0,7,,0.006
ICA-LiNGAM,0.05,1000,1000,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1000,0,2,0.0,0.052
PC,0.05,1000,1001,0,8,,0.016
FCI,0.05,1000,1001,0,11,,0.023
GES,0.05,1000,1001,1,16,,0.057
GRaSP,0.05,1000,1001,0,6,,0.008
ICA-LiNGAM,0.05,1000,1001,0,2,0.0,0.023
DirectLiNGAM,0.05,1000,1001,0,2,0.0,0.065
PC,0.05,1000,1002,0,9,,0.014
FCI,0.05,1000,1002,0,12,,0.018
GES,0.05,1000,1002,1,7,,0.029
GRaSP,0.05,1000,1002,0,8,,0.006
ICA-LiNGAM,0.05,1000,1002,0,2,0.0,0.015
DirectLiNGAM,0.05,1000,1002,0,2,0.0,0.061
PC,0.05,1000,1003,0,7,,0.021
FCI,0.05,1000,1003,0,8,,0.03
GES,0.05,1000,1003,0,11,,0.034
GRaSP,0.05,1000,1003,0,8,,0.006
ICA-LiNGAM,0.05,1000,1003,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1003,0,2,0.0,0.05
PC,0.05,1000,1004,0,9,,0.017
FCI,0.05,1000,1004,0,12,,0.018
GES,0.05,1000,1004,0,14,,0.038
GRaSP,0.05,1000,1004,0,14,,0.007
ICA-LiNGAM,0.05,1000,1004,0,2,0.0,0.023
DirectLiNGAM,0.05,1000,1004,0,2,0.0,0.066
PC,0.05,1000,1005,0,6,,0.017
FCI,0.05,1000,1005,0,9,,0.021
GES,0.05,1000,1005,0,11,,0.026
GRaSP,0.05,1000,1005,0,6,,0.007
ICA-LiNGAM,0.05,1000,1005,0,2,0.0,0.018
DirectLiNGAM,0.05,1000,1005,0,2,0.0,0.06
PC,0.05,1000,1006,0,9,,0.018
FCI,0.05,1000,1006,0,11,,0.023
GES,0.05,1000,1006,0,7,,0.04
GRaSP,0.05,1000,1006,0,6,,0.008
ICA-LiNGAM,0.05,1000,1006,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1006,0,2,0.0,0.059
PC,0.05,1000,1007,0,6,,0.016
FCI,0.05,1000,1007,0,9,,0.02
GES,0.05,1000,1007,1,10,,0.048
GRaSP,0.05,1000,1007,0,7,,0.007
